Country,Alcohol Both Sexes 2008-2010,Alcohol Both Sexes 2003-2005,Alcohol Male 2008-2010,Alcohol Male 2003-2005,Alcohol Female 2008-2010,Alcohol Female 2003-2005,Drug Male 2004,Drug Female 2004,Homicides # 2012,Homicide Rate 2015,Mental Beds Rate GH 2014,Mental Beds Rate GH 2011,Mental Beds Rate CRF 2014,Mental Beds Rate CRF 2011,Mental Beds Rate MH 2014,Mental Beds Rate MH 2011,Mental Hospitals Rate 2011,Mental Hospitals Units In GH Rate 2010,Mental Hospitals Units In GH Rate 2009,Mental Hospitals Units In GH Rate 2008,Mental Hospitals Units In GH Rate 2007,Mental Hospitals Units In GH Rate 2006,Mental Hospitals Units In GH Rate 2005,Mental Hospitals Units In GH Rate 2004,Mental Health Outpatient Facilities Rate,Mental Health Day Treatment Facilities Rate,Mental Health Community Residential Facilities Rate
Samoa,8.05 8.05,17.98 17.98,11.83 11.83,19.50 19.50,1.63 1.63,7.24 7.24,0.24,0.05,7,,0.52,0,,0,0.52,,,,,1,,,,,0.56,0.56,0
San Marino,,,,,,,0.05,0.02,0,,0,,0,22.2,0,,,5,,,,,,,3.17,6.34,3.17
Sao Tome and Principe,18.54 18.54,10.10 10.10,23.31 23.31,12.51 12.51,10.44 10.44,6.68 6.68,0.41,0.13,14,,,18.14,,0,12.13,18.14,0.6,,1,,,,,,0.6,0.6,0
Saudi Arabia,3.94 3.94,,4.33 4.33,,2.73 2.73,,0.01,0,1829 [405 - 8559],5.8,0.27,0.38,,0.91,19.5,11.43,0.08,,765,,,,,,0.36,0.01,0.01
Senegal,10.19 10.19,30.00 30.00,10.72 10.72,33.45 33.45,7.07 7.07,15.27 15.27,0.07,0.02,1087 [266 - 4449],7.3,0.55,0.6,0.46,0.51,0.85,1.91,0.04,,42,,,,,,0.08,0,0.01
Serbia,19.04 19.04,,27.00 27.00,,9.91 9.91,,,,154,1.7,19.83,,,,39.03,39.37,0.05,947,,,,,,,0.73,,
Seychelles,12.66,12.14,15.79,17.34,7.21,8.12,0.36,0.12,9,,26.79,,0,0,42.87,47.28,1.18,,2,,,,,,1.18,0,0
Sierra Leone,19.49 19.49,24.86 24.86,25.30 25.30,31.67 31.67,10.41 10.41,16.73 16.73,0.02,0.01,774 [174 - 3331],13.2,,0,,0,6.45,3.43,0.02,,,1,,,,,0,0,0
Singapore,3.95 3.95,3.06 3.06,4.73 4.73,3.65 3.65,2.43 2.43,2.47 2.47,0.28,0.07,33,2.7,1.41,1.41,6.45,35.46,36.43,40.85,0.02,,136,,,,,,0.06,0.52,0.27
Slovakia,19.81,17.31,28.78,28.18,10.03,8.13,1.11,0.36,75,1.3,,38.1,,248.89,No data,30.93,0.17,,,621,,,,,6.39,0.33,4.93
Slovenia,17.16 17.16,17.93 17.93,22.39 22.39,24.22 24.22,11.21 11.21,11.38 11.38,0.33,0.1,14,0.6,8.67,8.89,11.9,10.47,57.09,67.66,0.3,,143,,,,,,4.59,1.09,2.22
Solomon Islands,5.22 5.22,4.60 4.60,6.99 6.99,5.51 5.51,1.27 1.27,1.44 1.44,0.25,0.05,27 [6 - 112],4.1,,0.75,,0,3.49,4.48,0.19,,,,,,,,,0,0
Somalia,9.20 9.20,,10.72 10.72,,4.17 4.17,,0.45,0.15,560 [130 - 2370],5.6,,1.39,,0,1.86,4.17,0.12,,4,,,,,,0.14,0.01,0
South Africa,27.09 27.09,34.91 34.91,32.76 32.76,39.64 39.64,16.01 16.01,23.84 23.84,0.63,0.2,18698,26.2,,2.7,,3.47,22.72,19.5,0.12,,136,,,,,,6.85,0.16,0.12
Spain,16.42,21.13,21.65,24.79,10.6,15.58,1.8,0.57,364,0.8,11.91,10.19,0,,26.81,32.73,0.19,3894,,,,,,,1.15,0.25,
Sri Lanka,20.09,8.98,26.74,9.32,2.88,6.93,0.4,0.11,795,3.1,3.61,1.47,1.21,1.27,4.8,7.54,0,,,60,,,,,1.36,0.12,0.05
Sudan,24.12,,33.54,,7.1,,0.41,0.13,2435 [585 - 9560],6.5,0.38,0.9,0,1.62,2.34,0.42,0,28,,,,,,,0.04,0,0.02
Suriname,12.78,,15.08,,9.33,,0.5,0.17,50,10.7,0,0,0,0,45.96,47.87,0.19,,,6,,,,,0.76,0.19,0
Swaziland,12.98,20.96,19.4,33.89,3.26,4.73,0.45,0.15,239,20,0,0,0,0,15.15,12.48,0.08,,2,,,,,,0,0.83,0
Sweden,13.32,12.48,17.13,16.68,8.85,7.84,0.23,0.07,72,1.2,,34.91,,,No data,0,0,,330,,,,,,,,
Switzerland,12.08,13.42,16.51,17.71,7.5,8.43,0.77,0.24,46,0.6,,,,,72.47,101.05,0.79,,,3146,,,,,5.08,1.46,
Syrian Arab Republic,16.3,32.5,21.54,34.38,2.9,11.52,0.03,0,544,2.5,0.09,0.22,,0.78,0.87,6.09,0.02,,70,,,,,,0.11,0,0.16
Tajikistan,30.34,,31.05,,28.3,,1.24,0.45,145,1.3,7.37,1.41,,,9.75,19.79,0.21,,96,,,,,,0.69,0.1,
Thailand,23.83,23.92,30.32,29.07,5.25,6.21,0.7,0.18,3704,4,0.57,0.09,,,6.36,12.79,0.03,,,302,,,,,0.14,0,0
The former Yugoslav republic of Macedonia,11.71,,14.8,,7.08,,0.67,0.12,37,1.4,,7.34,,1.22,No data,56.28,0.2,,,204,,,,,0.93,0.39,0.2
Timor-Leste,7.97,,9.47,,2.56,,0,0,54 [13 - 219],4.4,0,,1.04,,0,,,,2,,,,,,,,
Togo,3.68,,5.48,,1.64,,0.41,0.14,618 [152 - 2392],9.1,0.34,0.29,0.57,0,1.72,1.77,0.01,,,2,,,,,0.1,0.03,0
Tonga,4.79,31.76,6.54,37.83,1.11,13.67,0.21,0.04,5,,24.58,0,,0,0,21.1,0.96,2,,,,,,,5.75,0,0
Trinidad and Tobago,13.18,,15.61,,9.56,,0.72,0.24,472,32.8,3.87,2.6,9.3,14.51,65.17,74.42,0.07,,,23,,,,,2.31,0.22,0.6
Tunisia,26.23,20.7,35.06,20.75,1.01,17.18,0.22,0.04,199 [47 - 853],1.6,4.03,3.38,1.12,23.64,5.56,5.88,0.01,,,205,,,,,0.43,0.01,0.77
Turkey,17.26,29.42,19.65,31.22,8.24,19.39,0.03,0.01,2020,2.4,3.84,5.56,,0.01,5.42,4.54,0.01,1616,,,,,,,,0.01,0
Turkmenistan,10.99,,11.62,,8.41,,0.19,0.06,223 [54 - 901],4.2,,,,,No data,,,,,,,,,,,,
Tuvalu,6.14,,7.29,,3.37,,0.22,0.05,0,,,,,,No data,,,,,,,,,,,,
Uganda,23.7,28.16,25.62,37.64,19.6,16.59,0.09,0.03,4358,13.1,1.17,1.24,,0,1.42,1.48,0,,31,,,,,,0.08,0,0
Ukraine,20.34,27.91,29.98,37.38,11.19,17.07,0.29,0.09,2381,6,,0.65,,,No data,92.85,0.19,,4592,,,,,,0.07,0.23,
United Arab Emirates,32.83,7.2,34.36,7.74,17.77,3.13,0.38,0.06,375 [62 - 2755],3.7,0.36,0.53,0,0,0.85,1.7,0.02,14,,,,,,,0.06,0,0
United Kingdom of Great Britain and Northern Ireland,13.79,15.62,18.95,21.58,8.51,9.46,1.29,0.41,922,1.3,,,,,34.08,,,,9220,,,,,,,,
United Republic of Tanzania,18.41,31.84,21.94,43.14,12.71,21.49,0.05,0.02,3831 [905 - 16023],7.6,,1.47,,0.8,1.48,1.55,0,17,,,,,,,0.28,0,
United States of America,13.27,14.43,18.12,19.98,7.78,8.45,1.83,0.58,17293,5.3,11.47,14.36,15.15,22.29,23.56,19.44,0.25,24758,,,,,,,1.95,,0.65
Uruguay,12.87,17.92,16.07,21.53,8.68,12.74,0.43,0.14,267,7.6,6.14,,,,39.37,,,,,581,,,,,,,
Uzbekistan,12.24,,13.08,,8.97,,0.43,0.15,920 [767 - 1066],3,0.58,0.97,0,0,15.28,16.89,0.04,,,937,,,,,0.09,0.06,0
Vanuatu,4.25,4.7,5.67,4.61,1.04,1.68,0.23,0.05,7,,,1.63,,0,0.77,0,0,,,0,,,,,2.44,2.03,0
Venezuela (Bolivarian Republic of),15.1,,18.15,,10.72,,2.26,0.76,17259,51.7,,,,,No data,,,,,,,,,,,,
Viet Nam,17.19,15.64,27.37,16.1,0.89,11.6,0.47,0.1,3605 [830 - 14008],3.9,1.13,0.34,,,6.81,17.97,0.04,,900,,,,,,0.07,0,
Yemen,6.13,,8.31,,1.89,,0.59,0.22,1300,6.1,,0.53,,,No data,2.83,0.02,,,,,,,,0.04,,0.02
Zambia,13.15,23.94,14.51,24.86,9.56,21.36,0.53,0.17,1476 [372 - 5968],9.7,2,1.51,0.33,0.45,2,1.58,0.01,4,,,,,,,0.54,0.01,0.03
Zimbabwe,14.62,35.25,21.56,36.69,2.94,23.53,0.08,0.03,2066 [521 - 8051],28.5,1.1,1.13,0.96,1.47,12.38,9.19,0.03,,7,,,,,,0.02,0.02,0.08
South Sudan,,,,,,,,,524 [117 - 2257],4.5,0.14,,0,,0,,,,,,,,,,,,
Sudan (former),,,,,,,,,,,,,,,2.83,,,,,,,,,,,,
